"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2023","4,388","4,450","4,450","4,375","126.83M","-2.50%"
"03/13/2023","4,500","4,513","4,525","4,438","87.39M","-0.28%"
"03/10/2023","4,513","4,550","4,563","4,500","72.69M","-1.37%"
"03/09/2023","4,575","4,500","4,613","4,500","112.17M","3.10%"
"03/08/2023","4,438","4,425","4,438","4,400","26.26M","-0.28%"
"03/07/2023","4,450","4,400","4,463","4,400","40.63M","1.14%"
"03/06/2023","4,400","4,400","4,438","4,375","42.48M","0.57%"
"03/03/2023","4,375","4,438","4,450","4,375","54.99M","-1.41%"
"03/02/2023","4,438","4,475","4,475","4,438","49.58M","-0.84%"
"03/01/2023","4,475","4,388","4,488","4,388","48.20M","1.99%"
"02/28/2023","4,388","4,500","4,500","4,388","108.31M","-1.96%"
"02/27/2023","4,475","4,450","4,500","4,425","43.00M","0.56%"
"02/24/2023","4,450","4,500","4,563","4,450","61.46M","-0.56%"
"02/23/2023","4,475","4,425","4,500","4,400","52.74M","1.13%"
"02/22/2023","4,425","4,500","4,525","4,400","103.69M","-2.21%"
"02/21/2023","4,525","4,575","4,600","4,525","72.59M","-1.09%"
"02/20/2023","4,575","4,638","4,663","4,563","66.06M","-1.35%"
"02/17/2023","4,638","4,675","4,688","4,625","23.08M","-0.80%"
"02/16/2023","4,675","4,725","4,725","4,650","38.39M","-0.80%"
"02/15/2023","4,713","4,725","4,738","4,638","44.27M","-0.26%"
"02/14/2023","4,725","4,750","4,775","4,700","37.44M","-0.53%"
"02/13/2023","4,750","4,788","4,788","4,725","26.26M","-0.26%"
"02/10/2023","4,763","4,763","4,763","4,713","24.98M","-0.26%"
"02/09/2023","4,775","4,725","4,775","4,713","47.64M","0.79%"
"02/08/2023","4,738","4,688","4,750","4,688","34.06M","1.07%"
"02/07/2023","4,688","4,675","4,700","4,625","38.89M","0.27%"
"02/06/2023","4,675","4,650","4,675","4,575","38.51M","0.54%"
"02/03/2023","4,650","4,600","4,663","4,575","42.78M","2.20%"
"02/02/2023","4,550","4,588","4,600","4,525","38.58M","-0.27%"
"02/01/2023","4,563","4,600","4,625","4,538","58.89M","-0.27%"
"01/31/2023","4,575","4,600","4,650","4,538","116.84M","-1.61%"
"01/30/2023","4,650","4,775","4,775","4,625","77.46M","-2.62%"
"01/27/2023","4,775","4,800","4,800","4,738","79.53M","0.79%"
"01/26/2023","4,738","4,563","4,763","4,538","77.29M","4.41%"
"01/25/2023","4,538","4,600","4,625","4,525","68.17M","0.28%"
"01/24/2023","4,525","4,538","4,575","4,488","25.83M","0.28%"
"01/20/2023","4,513","4,500","4,550","4,450","31.00M","0.84%"
"01/19/2023","4,475","4,450","4,488","4,413","28.43M","0.85%"
"01/18/2023","4,438","4,475","4,513","4,400","42.10M","-0.56%"
"01/17/2023","4,463","4,388","4,488","4,375","58.84M","1.71%"
"01/16/2023","4,388","4,350","4,400","4,338","24.91M","1.15%"
"01/13/2023","4,338","4,338","4,338","4,288","31.50M","0.87%"
"01/12/2023","4,300","4,338","4,375","4,250","71.43M","1.18%"
"01/11/2023","4,250","4,363","4,363","4,213","105.53M","-2.58%"
"01/10/2023","4,363","4,500","4,500","4,325","56.89M","-3.06%"
"01/09/2023","4,500","4,475","4,525","4,438","38.72M","1.12%"
"01/06/2023","4,450","4,488","4,525","4,438","47.08M","-1.11%"
"01/05/2023","4,500","4,575","4,575","4,413","91.14M","-1.91%"
"01/04/2023","4,588","4,638","4,650","4,575","48.41M","-1.08%"
"01/03/2023","4,638","4,600","4,650","4,575","26.46M","0.54%"
"01/02/2023","4,613","4,613","4,613","4,550","14.59M","0.00%"
